,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2009-12-02,0.00034269870662884117,0.00034269870662884117,0.0,0.0
2009-12-03,-0.008402100871871099,-0.008402100871871099,0.0,0.0
2009-12-04,0.0055094336691066115,0.0,0.0,0.0
2009-12-07,-0.0024683814508043023,0.0,0.0,0.0
2009-12-08,-0.010251582681849114,0.0,0.0,0.0
2009-12-09,0.0036723720907769763,0.0,0.0,0.0
2009-12-10,0.005839705004064388,0.0,0.0,0.0
2009-12-11,0.003683094011583732,0.0,0.0,0.0
2009-12-14,0.006959401066516824,0.0,0.0,0.0
2009-12-15,-0.005546967284989268,0.0,0.0,0.0
2009-12-16,0.0011282300681465518,0.0,0.0,0.0
2009-12-17,-0.011810614167124256,0.0,0.0,0.0
2009-12-18,0.005829880031232637,0.0,0.0,0.0
2009-12-21,0.010503758317892853,0.0,0.0,0.0
2009-12-22,0.0035635478920368335,0.0,0.0,0.0
2009-12-23,0.0022986585608189003,0.0,0.0,0.0
2009-12-24,0.005256172933982839,0.0,0.0,0.0
2009-12-28,0.0011540807210652648,0.0,0.0,0.0
2009-12-29,-0.0014010516979849896,0.0,0.0,0.0
2009-12-30,0.00019542957110640913,0.0,0.0,0.0
2009-12-31,-0.010049597767921581,0.0,0.0,0.0
2010-01-04,0.01604341766668682,0.0,0.0,0.0
2010-01-05,0.0031156756258232665,0.0,0.0,0.0
2010-01-06,0.0005455206301101523,-0.0005455206301101523,0.0,0.0
2010-01-07,0.00400120187417663,-0.00400120187417663,0.0,0.0
2010-01-08,0.0028817272914287706,-0.0028817272914287706,0.0,0.0
2010-01-11,0.0017467554316374923,-0.0017467554316374923,0.0,0.0
2010-01-12,-0.009381166148364262,0.009381166148364262,0.0,0.0
2010-01-13,0.008325925658531075,-0.008325925658531075,0.0,0.0
2010-01-14,0.0024264254383745687,-0.0024264254383745687,0.0,0.0
2010-01-15,-0.010823130159869354,0.010823130159869354,0.0,0.0
2010-01-19,0.012499626599363545,-0.012499626599363545,0.0,0.0
2010-01-20,-0.010597829662970737,0.010597829662970737,0.0,0.0
2010-01-21,-0.01894490338978838,0.01894490338978838,0.0,0.0
2010-01-22,-0.022140988764300484,0.022140988764300484,0.0,0.0
2010-01-25,0.004598098012701168,-0.004598098012701168,0.0,0.0
2010-01-26,-0.004203199573680982,0.004203199573680982,0.0,0.0
2010-01-27,0.004880152210944955,-0.004880152210944955,0.0,0.0
2010-01-28,-0.011817740959567224,0.011817740959567224,0.0,0.0
2010-01-29,-0.009829173828039273,0.009829173828039273,0.0,0.0
2010-02-01,0.014266108894671836,-0.014266108894671836,0.0,0.0
2010-02-02,0.01297294837718499,-0.01297294837718499,0.0,0.0
2010-02-03,-0.00547431142933863,0.00547431142933863,0.0,0.0
2010-02-04,-0.031140677888039425,0.031140677888039425,0.0,0.0
2010-02-05,0.002897118921960873,0.002897118921960873,0.0,0.0
2010-02-08,-0.00886329049344714,-0.00886329049344714,0.0,0.0
2010-02-09,0.013040132316577413,0.013040132316577413,0.0,0.0
2010-02-10,-0.0022325735201887964,-0.0022325735201887964,0.0,0.0
2010-02-11,0.009680437561949251,0.009680437561949251,0.0,0.0
2010-02-12,-0.002744592819371894,-0.002744592819371894,0.0,0.0
2010-02-16,0.01800074864554846,0.01800074864554846,0.0,0.0
2010-02-17,0.0042379594555796984,0.0042379594555796984,0.0,0.0
2010-02-18,0.006584742448973557,0.006584742448973557,0.0,0.0
2010-02-19,0.002186622042297248,0.002186622042297248,0.0,0.0
2010-02-22,-0.0010458578339902491,-0.0010458578339902491,0.0,0.0
2010-02-23,-0.012102809596931441,-0.012102809596931441,0.0,0.0
2010-02-24,0.00972045942422195,0.00972045942422195,0.0,0.0
2010-02-25,-0.002081040179913507,-0.002081040179913507,0.0,0.0
2010-02-26,0.0014053791778985136,0.0014053791778985136,0.0,0.0
2010-03-01,0.01015850827289455,0.01015850827289455,0.0,0.0
2010-03-02,0.0023304422719907514,0.0023304422719907514,0.0,0.0
2010-03-03,0.00042920160206150193,0.00042920160206150193,0.0,0.0
2010-03-04,0.0037361180334851696,0.0037361180334851696,0.0,0.0
2010-03-05,0.014007480947064943,0.014007480947064943,0.0,0.0
2010-03-08,-0.00017559601339156572,-0.00017559601339156572,0.0,0.0
2010-03-09,0.0017127370855292146,-0.0017127370855292146,0.0,0.0
2010-03-10,0.00452455995494172,-0.00452455995494172,0.0,0.0
2010-03-11,0.004041519314613495,-0.004041519314613495,0.0,0.0
2010-03-12,-0.00021734594703937127,0.00021734594703937127,0.0,0.0
2010-03-15,0.000452194832708086,-0.000452194832708086,0.0,0.0
2010-03-16,0.0077791163013856135,-0.0077791163013856135,0.0,0.0
2010-03-17,0.005821675803744153,-0.005821675803744153,0.0,0.0
2010-03-18,-0.0003258460273372066,0.0003258460273372066,0.0,0.0
2010-03-19,-0.005086446449439896,0.005086446449439896,0.0,0.0
2010-03-22,0.005095296193887933,-0.005095296193887933,0.0,0.0
2010-03-23,0.007170966908320198,-0.007170966908320198,0.0,0.0
2010-03-24,-0.005493304207041971,0.005493304207041971,0.0,0.0
2010-03-25,-0.001704167338318907,0.001704167338318907,0.0,0.0
2010-03-26,0.000737722599547963,-0.000737722599547963,0.0,0.0
2010-03-29,0.005683234964352302,-0.005683234964352302,0.0,0.0
2010-03-30,4.265937281555665e-05,-4.265937281555665e-05,0.0,0.0
